,Title,Genre,
0,Animal Farm,"['Roman à clef', 'Fantasy', ""Drama"", 'IMAX', 'sci-fi']",
1,A Clockwork Orange,"['Sci-fi', 'Adventure', 'IMAX', 'Animation', 'Fantasy', 'sci-fi']",
2,The Plague,"['Existentialism', 'sci-fi', 'IMAX', 'Musical']",
3,A Fire Upon the Deep,"['Hard Sci-fi', 'Sci-fi', 'IMAX', 'Fantasy', 'sci-fi']",
4,All Quiet on the Western Front,"['Fantasy', 'Roman à clef']",
5,A Wizard of Earthsea,"[""Drama"", 'Fantasy', 'IMAX', 'Drama', 'sci-fi']",
6,Blade Runner 3: Replicant Night,"['Sci-fi', 'IMAX']",
7,Blade Runner 2: The Edge of Human,"['Sci-fi', 'IMAX']",
8,Book of Job,['Religious text'],
9,Crash,"['IMAX', 'sci-fi', 'Musical']",
10,Children of Dune,"['Sci-fi', 'IMAX', ""Drama"", 'sci-fi']",
11,"Candide, ou l'Optimisme","['Fantasy', 'Drama', 'Thriller']",
12,Chapterhouse Dune,"['Sci-fi', 'IMAX', ""Drama"", 'sci-fi']",
13,Carmilla,['IMAX'],
14,The Cider House Rules,['sci-fi'],
15,Dracula,"['Sci-fi', 'IMAX', 'Horror', 'Invasion literature', 'Mystery', 'Thriller', 'Fantasy', 'sci-fi', 'IMAX']",
16,Don Quixote,"['Parody', ""Drama"", 'Thriller', 'Fantasy', 'Farce', 'Thriller', 'sci-fi']",
17,Dune Messiah,"['Sci-fi', 'IMAX', ""Drama"", 'sci-fi', 'Musical']",
18,Darwin's Dangerous Idea,"['Philosophy', 'Science']",
19,Death of a Hero,['sci-fi'],
20,Exodus,['Religious text'],
21,The Trial,"['sci-fi', 'IMAX', 'Musical']",
22,The Metamorphosis,"[""Drama"", 'IMAX', 'Adventure', 'IMAX', 'Fantasy', 'sci-fi']",
23,Fahrenheit 451,"['Sci-fi', ""Drama"", 'IMAX', 'Animation', 'sci-fi', 'Romance']",
24,Farmer Giles of Ham,"['Fantasy', 'sci-fi']",
25,Gaudy Night,"['Mystery', 'Documentary', 'Musical', 'sci-fi', 'Crime']",
26,God Emperor of Dune,"['Sci-fi', 'IMAX', ""Drama"", 'sci-fi']",
27,Genesis,['Religious text'],
28,Gone with the Wind,"['Drama', 'sci-fi', 'Musical']",
29,Heart of Darkness,"['sci-fi', 'Adventure', 'Roman à clef']",
30,Heretics of Dune,"['Sci-fi', 'IMAX', 'sci-fi']",
31,Adventures of Huckleberry Finn,"['Fantasy', ""Drama"", 'sci-fi', 'Musical', 'Comedy']",
32,Ivanhoe,"['Drama', 'sci-fi', 'Drama']",
33,Johnny Got His Gun,"['sci-fi', 'Musical']",
34,Icehenge,"['Sci-fi', 'IMAX']",
35,Microserfs,"['Thriller', 'sci-fi']",
36,"Moby-Dick; or, The Whale","['Sea story', 'sci-fi', 'Musical']",
37,Moonfleet,['Musical'],
38,Neuromancer,"['Cyberpunk', 'Sci-fi', 'IMAX', 'Romance']",
39,Cryptonomicon,"['sci-fi', 'Musical']",
40,No Logo,"['Business', 'Non-sci-fi', 'Economics', 'Anthropology', 'Sociology', 'sci-fi']",
41,The Three Stigmata of Palmer Eldritch,"['Sci-fi', 'IMAX', 'sci-fi', 'Romance']",
42,Time out of Joint,"['Sci-fi', 'IMAX', 'sci-fi', 'Romance']",
43,A Scanner Darkly,"['Sci-fi', 'Thriller', 'IMAX', 'Roman à clef', 'sci-fi', 'Romance']",
44,Radio Free Albemuth,"['Sci-fi', 'IMAX', 'Romance']",
45,Pride and Prejudice,"['Fantasy', 'sci-fi', 'Romance', 'Musical']",
46,Pale Fire,['sci-fi'],
47,Rosencrantz & Guildenstern Are Dead,['IMAX'],
48,Ringworld,"['Sci-fi', 'IMAX', 'sci-fi', 'Musical']",
